Id	rnase0	rnase1	rnase2	rnase3	rnase4	rnase5
4930564B18Rik	0	0	0	0	0	0
Ankrd2	0	0	1	0	2	1
Rela	1	9	44	52	59	39
Npsr1	1	0	12	9	8	10
Ccdc162	0	0	5	2	4	4
Ppp1cb	51	114	1342	1536	1714	1832
Sh3tc1	1	0	3	1	1	0
Als2cr12	0	0	1	0	2	2
Mrpl44	2	16	122	127	135	112
Myd88	0	1	10	13	10	15
Oas1e	0	0	0	0	0	0
Olfr578	0	0	0	0	0	0
Slc7a5	4	27	244	170	151	146
Flrt2	9	29	190	154	152	164
Spaca3	0	0	0	0	0	0
Olfr1469	0	0	0	0	0	0
Asap3	0	3	12	5	12	6
B2m	10	54	471	338	440	355
Cox6a1	31	185	1473	1066	1044	870
Nrxn2	27	229	1207	731	773	586
Aprt	1	15	231	111	164	112
Cyc1	17	105	765	470	484	413
Selo	3	13	111	70	82	68
Btbd8	0	1	5	10	11	10
Sash1	4	46	344	281	364	313
Il1r2	0	0	3	1	1	3
Setd2	10	25	163	145	204	219
Olfr872	0	0	0	0	0	0
Gm6040	0	0	0	0	0	0
Cx3cl1	64	574	5688	4121	4199	3565
Adrbk2	2	11	57	63	60	69
Ssxb5	0	0	0	0	0	0
Prrc2b	28	161	915	645	710	597
Cstf2	4	30	363	291	310	256
Olfr948	0	0	0	0	0	0
Chrna4	2	13	84	68	64	56
Ncapd3	3	7	53	58	60	61
Rpl5	60	86	636	609	655	615
Nfia	5	39	233	186	205	197
Il5ra	0	0	0	0	0	0
Zfp94	0	0	11	8	14	5
Gpc2	0	3	7	9	10	9
Prkab2	2	12	115	73	114	76
Echdc2	0	3	13	7	9	9
Vdr	0	0	0	0	0	0
Pp2d1	0	0	0	0	1	0
Olfr5	0	0	0	0	0	0
Pianp	6	88	543	300	262	186
Nckap5	0	5	9	10	7	6
Asb17	0	0	0	0	0	1
Vamp8	1	0	17	24	29	26
Mapk12	0	1	6	6	3	3
Capsl	1	1	14	20	25	29
Ppt2	8	20	138	103	80	72
Olfr1080	0	0	0	0	0	0
Actg1	164	1443	14692	8387	8582	6956
Cep89	1	2	27	24	36	32
4933402P03Rik	0	0	0	0	0	0
Nav2	3	27	152	114	108	110
Esp8	0	0	0	0	0	0
Sgcb	3	15	223	187	201	182
Gm9994	0	0	0	0	0	0
Znhit1	3	27	177	134	167	145
Olfr281	0	0	0	0	0	0
Plbd1	0	0	2	3	2	2
Gemin4	0	9	82	40	41	40
Gm5142	0	0	0	0	0	0
Ptp4a3	1	4	19	15	26	18
AY761184	0	0	0	0	0	0
Hcfc2	1	16	115	100	97	115
Acan	2	8	91	80	91	81
Olfr859	0	0	0	0	0	0
Tep1	0	3	32	14	9	18
Acad9	5	19	189	170	195	218
Rrp1	9	80	1010	930	1077	917
Sft2d1	5	18	95	90	103	99
Ackr3	0	18	154	77	93	80
Fam53b	2	8	61	37	42	35
Slco1a1	0	0	0	0	0	0
Vmn1r179	0	0	0	0	0	0
Gm14499	0	0	0	0	0	0
Cdkn1c	1	13	97	63	52	28
Gm3238	0	0	0	0	0	0
Ptpro	12	26	273	236	313	340
Mtap	2	4	34	45	73	48
Col4a5	2	2	57	48	42	46
4930452B06Rik	0	4	20	15	16	11
Chil6	0	0	0	0	0	0
Gnb1l	1	2	6	5	16	5
Olfr411	0	0	0	0	0	0
Nme5	0	4	27	31	54	67
Nup214	7	27	246	151	186	195
Aarsd1	4	27	224	181	235	183
Map3k9	2	9	25	14	21	13
Gm21637	0	0	0	0	0	0
Ttbk2	8	42	169	176	201	205
Haus6	0	3	16	21	14	23
Ndufb11	9	65	525	447	514	482
Edil3	21	83	1086	1148	1461	1386
Ctse	0	0	0	0	0	0
Zfp663	0	0	0	0	0	0
4933427D06Rik	0	0	0	0	0	0
Kcnmb2	0	3	16	8	18	10
Sgta	6	81	591	367	453	300
Defb42	0	0	0	0	0	0
Rps6ka4	0	17	70	40	45	43
Cks2	1	1	5	16	10	6
Olfr1335	0	0	0	0	0	0
Uggt1	9	28	321	297	353	380
Cir1	4	14	104	136	202	196
Cst13	0	0	0	0	0	0
Pof1b	0	0	0	0	0	0
Idnk	2	7	17	42	36	40
Atp6v1g2	12	126	1295	1342	1603	1314
Kif1c	9	47	67	48	71	34
Arhgap9	0	0	0	0	2	0
Ubr4	19	103	996	655	697	737
Smim5	1	0	2	1	3	1
8030423J24Rik	0	0	1	0	0	0
Cep97	5	12	79	66	94	75
Hsfy2	0	0	0	0	0	0
Spata31d1b	0	0	0	0	0	1
Zcrb1	6	8	74	89	154	154
Mest	7	31	279	233	230	182
Gpr132	0	0	0	0	0	0
Clnk	0	0	0	0	4	1
Sbno2	1	3	15	6	12	8
Psma8	0	0	0	0	0	0
Olfr129	0	0	0	0	0	0
Snx12	8	34	325	372	383	385
Tdpoz3	0	0	0	0	0	0
Speer4d	0	0	0	0	0	0
Lingo2	3	6	84	53	70	88
3110021N24Rik	0	4	14	1	1	1
Fam198b	1	2	4	12	10	6
Zfp335	3	15	91	56	70	52
Trim34b	0	0	0	0	0	0
Gstm7	2	11	91	88	122	96
Fam171b	32	94	600	498	671	569
Cdk15	0	0	0	1	0	0
Rnf38	5	14	92	65	85	63
Abhd6	6	26	359	271	239	300
Nipa2	8	13	109	106	104	109
